id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Restaurante_10.994.166,Abbraccio,Abbraccio,Rua,Av. Reg. Feijó,Vila Reg. Feijó,03342-000,Restaurante,-23.779579,-45.358564
Restaurante_10.994.531,Brasileirinho,Brasileirinho,Rua,AL. Santo Amaro,Santo Amaro,04745-001,Restaurante,-23.658245,-46.705952
Restaurante_10.994.544,Brasileirinho,Brasileirinho Comidaria,Rua,R. João Batista Jordão,Jardim Monte Azul,05836-260,Restaurante,-23.652387,-46.533937
Restaurante_10.994.839,Sí Señor,Si Senor Mooca,Rua,R. Borges de Figueiredo,Mooca,03110-010,Restaurante,-23.560757,-46.605753
Restaurante_10.994.857,Divino Fogão,Divino Fogao Shopping Villa Lobos,Rua,Av. Dra. Ruth Cardoso,Jardim Universidade Pinheiros,05477-000,Restaurante,-23.551561,-46.723178
Restaurante_10.994.975,Coco Bambu,Coco Bambu SP Market Restaurante Peixe Camarao Carne Lagosta Sao Paulo SP,Rua,Av. das Nações Unidas,Vila Almeida,04795-000,Restaurante,-23.779579,-45.358564
Restaurante_10.994.989,Jeronimo Smash Burger,Jeronimo Burger Tatuape,Rua,R. Melo Freire,Tatuapé,03314-030,Restaurante,-23.538787,-46.567527
Restaurante_10.995.015,Divino Fogão,Divino Fogao Vila Olimpia,Rua,R. Olimpíadas,Vila Olímpia,04551-000,Restaurante,-20.738465,-48.913529
Restaurante_10.995.031,Outback,Outback Steakhouse,Rua,Av. das Nações Unidas,Vila Gertrudes,04794-000,Restaurante,-23.779579,-45.358564
Restaurante_10.995.205,Outback,Outback Steakhouse,Rua,Av. José Pinheiro Borges,Itaquera,08220-385,Restaurante,-23.531539,-46.430047
Restaurante_10.995.253,Viena,Restaurante Viena,Rua,Av. Higienópolis,Higienópolis,01238-000,Restaurante,-22.741792,-47.645072
Restaurante_10.995.290,Domino´s Pizza,Dominos Pizza Tucuruvi,Rua,Av. Guapira,Tucuruvi,02265-002,Restaurante,-23.481785,-46.601996
Restaurante_10.995.334,Domino´s Pizza,Dominos Pizza Vila Carrao,Rua,Av. Conselheiro Carrão,Vila Carrao,03402-002,Restaurante,-23.554828,-46.525902
Restaurante_10.995.595,Domino´s Pizza,Dominos Pizza Tatuape,Rua,R. Vilela,Tatuapé,03314-000,Restaurante,-23.539377,-46.566541
Restaurante_10.995.637,Almanara,Almanara Shopping Jk,Rua,Avenida Presidente Juscelino Kubitschek,Vila Nova Conceição,04543-011,Restaurante,-23.695965,-46.617871
Restaurante_10.995.643,Divino Fogão,Divino Fogao Shopping Center 3,Rua,Av. Paulista,Cerqueira César,01310-200,Restaurante,-23.0349,-49.165198
Restaurante_10.995.677,Jeronimo Smash Burger,Jeronimo Burger SP Market,Rua,Av. das Nações Unidas,Vila Almeida,04795-000,Restaurante,-23.779579,-45.358564
Restaurante_10.995.750,Domino´s Pizza,Dominos Pinheiros,Rua,R. Inácio Pereira da Rocha,Pinheiros,05432-011,Restaurante,-23.560312,-46.69
Restaurante_10.995.792,Domino´s Pizza,Dominos Pizza,Rua,R. Mendes Gonçalves,Brás,03027-010,Restaurante,-23.532864,-46.614322
Restaurante_10.995.959,Pobre Juan,Pobre Juan,Rua,Av. Magalhães de Castro,Pinheiros,05502-001,Restaurante,-23.569751,-46.703624
Restaurante_10.995.990,Ráscal,Rascal Higienopolis,Rua,Av. Higienópolis,Higienópolis,01238-000,Restaurante,-22.741792,-47.645072
Restaurante_10.996.005,Divino Fogão,Divino Fogao,Rua,Loja 20604 - Santo Amaro,Santo Amaro,04752-005,Restaurante,-23.639888,-46.700715
Restaurante_10.996.113,Outback,Outback Steakhouse,Rua,Travessa Casalbuono,Vila Guilherme,02047-050,Restaurante,-23.517439,-46.61691
