id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude,geometry
Farmacia_11.095.204,Maxifarma,Drogaria Maxifarma,Rua,Rua Vilfredo Pareto,Jardim Horizonte Azul,04963115,Farmacia,-23.750564,-46.778303,POINT (-46.778303 -23.750564)
Farmacia_11.095.205,Ultrafarma Popular,Ultrafarma Cupece,Rua,Av. Cupecê,Jardim Prudência,04366000,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.095.206,Drogaria Sp,Drogaria Sao Paulo,Rua,Av. Santa Inês,Vila Pedra Branca,02631010,Farmacia,-20.53751,-47.40203,POINT (-47.40203 -20.53751)
Farmacia_11.095.207,Drogaria Sp,Drogaria Sao Paulo,Rua,R. das Palmeiras,Vila Buarque,01226011,Farmacia,-23.134255,-46.469639,POINT (-46.469639 -23.134255)
Farmacia_11.095.210,Droga Raia,Droga Raia,Rua,R. Barão de Melgaço,Real Parque,05684030,Farmacia,-24.061125,-46.559202,POINT (-46.559202 -24.061125)
Farmacia_11.095.225,Poupafarma,Poupafarma,Rua,Av. Santa Catarina,Vila Santa Catarina,04378400,Farmacia,-23.39396935,-49.51227955060724,POINT (-49.51227955060724 -23.39396935)
Farmacia_11.095.232,Ultrafarma Popular,Ultrafarma Jardim Prudencia,Rua,Av. Cupecê,Jardim Prudência,04366000,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.101.109,Ultrafarma Popular,Ultrafarma Popular Unidade Chacara Santo Antonio,Rua,R. da Paz,Chácara Santo Antônio,04713002,Farmacia,-23.641703,-46.57402,POINT (-46.57402 -23.641703)
Farmacia_11.101.113,Droga Raia,Droga Raia,Rua,R. Américo Brasiliense,Alto da Boa Vista,04715003,Farmacia,-21.18064355533636,-47.80529123345617,POINT (-47.80529123345617 -21.18064355533636)
Farmacia_11.101.115,Farmácias Pague Menos,Farmacia Pague Menos,Rua,R. Clélia,Água Branca,05042000,Farmacia,-22.751938,-47.629119,POINT (-47.629119 -22.751938)
Farmacia_11.101.131,Drogasil,Drogasil,Rua,Avenida Raposo Tavares,Jardim Olympia,05577200,Farmacia,-23.586236,-46.811597,POINT (-46.811597 -23.586236)
Farmacia_11.101.141,Farmácias Pague Menos,Farmacia Pague Menos,Rua,R. Clodomiro Amazonas,Vila Nova Conceição,04537002,Farmacia,-23.895597,-46.425581,POINT (-46.425581 -23.895597)
Farmacia_11.101.144,Drogaria Sp,Drogaria Sao Paulo,Rua,Est M'boi Mirim,Jardim das Flores,04905000,Farmacia,-23.536505,-46.79336,POINT (-46.79336 -23.536505)
Farmacia_11.101.152,Drogaria Sp,Drogaria Sao Paulo,Rua,Av. Cupecê,Jardim Prudência,04366001,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.101.154,Ultrafarma Popular,Ultrafarma Popular Jd Comercial,Rua,Estr. de Itapecerica,Jardim Comercial,05858003,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
