id,Rede,Nome,Nome.1,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Faculdade_1.734.145,Privada,Faculdade de Teologia de São Paulo da Igreja Presbiteriana Independente do Brasil,São Paulo-bela Vista,Rua,R Genebra 180,Bela Vista,01316-010,Faculdade,-23.552558,-46.639979
Faculdade_1.734.146,Privada,Faculdade de Tecnologia Oswaldo Cruz,Campus - São Paulo - Barra Funda,Rua,R Brigadeiro Galvão Prédio 540,Barra Funda,01151-000,Faculdade,-23.531151,-46.656597
Faculdade_1.734.148,Privada,Faculdade de Tecnologia do Istituto Europeo di Design,Ied São Paulo,Rua,R Maranhão 617,Higienópolis,01240-001,Faculdade,-21.13588,-48.973282
Faculdade_1.734.151,Privada,Faculdade Israelita de Ciências da Saúde Albert Einstein,Unidade - São Paulo - Butantã,Rua,Av Professor Francisco Morato 4293,Butantã,05521-200,Faculdade,-23.595673,-46.736929
Faculdade_1.734.154,Privada,Centro Universitário Belas Artes de São Paulo,Campus Sede (unid. 1 e 2),Rua,R Dr Álvaro Alvim 76/90,Vila Mariana,04018-010,Faculdade,-23.589675,-46.640517
Faculdade_1.734.162,Privada,Faculdade de Tecnologia Senai Anchieta,Campus - São Paulo - Vila Mariana,Rua,R Gandavo 550,Vila Mariana,04023-001,Faculdade,-23.591596,-46.645425
Faculdade_1.734.211,Pública,Universidade Federal de São Paulo,Campus São Paulo - Rua Botucatu,Rua,R Botucatú 740,Vila Clementino,04023-900,Faculdade,-23.599262,-46.643092
Faculdade_1.734.214,Privada,Universidade Brasil,Campus Sede - Itaquera,Rua,R Carolina Fonseca 584,Itaquera,08230-030,Faculdade,-23.528351,-46.45591
Faculdade_1.734.215,Privada,Universidade Presbiteriana Mackenzie,Campus - São Paulo - Consolação,Rua,R da Consolação 896,Consolação,01302-907,Faculdade,-23.547828,-46.650412
Faculdade_1.734.361,Privada,Faculdade Educamais,Unidade Sede,Rua,R Dr Luiz Carlos 1000,Penha,03505-000,Faculdade,-23.534673,-46.541919
Faculdade_1.734.364,Privada,Centro Universitário Adventista de São Paulo,Unasp Campus São Paulo,Rua,Estrada de Itapecerica 5859,Jardim Iae,05858-001,Faculdade,-23.617089,-46.75755
Faculdade_1.734.461,Privada,Universidade São Judas Tadeu,Unidade Butantã,Rua,Av Vital Brasil 1000,Butantã,05503-000,Faculdade,-23.568814,-46.713877
Faculdade_1.734.525,Privada,Universidade Anhembi Morumbi,Campus Paulista,Rua,Av Paulista 2000,Bela Vista,01310-200,Faculdade,-23.55877,-46.658837
Faculdade_1.734.568,Privada,Faculdade Zumbi dos Palmares,Sede,Rua,Av Santos Dumont 843,Ponte Pequena,01101-000,Faculdade,-23.129607,-46.572683
Faculdade_1.734.581,Privada,Centro Universitário Estácio de São Paulo,Vila dos Remédios,Rua,Av dos Remédios 810,Vila dos Remédios,05107-001,Faculdade,-23.552139,-46.647198
Faculdade_1.734.599,Pública,Faculdade de Teconologia da Zona Sul,Fatec Zona Sul,Rua,R Frederico Grotte 322,Jardim Vergueiro,05818-270,Faculdade,-23.662554,-46.729163
Faculdade_1.734.600,Privada,Centro Universitário Carlos Drummond de Andrade,Unidade Alvorada,Rua,Praça Nossa Senhora das Vitórias 92,Vila Formosa,03356-030,Faculdade,-23.564475,-46.54923
Faculdade_1.735.420,Privada,Faculdade de Tecnologia Carlos Drummond de Andrade,Campus - São Paulo - Tatuapé,Rua,R Professor Pedreira de Freitas 401/415,Tatuapé,03312-050,Faculdade,-23.549916,-46.554945
Faculdade_1.735.422,Privada,Universidade Cruzeiro do Sul,Polo Sp_analia Franco,Rua,Av Regente Feijó 1295,Tatuapé,03342-000,Faculdade,-23.560849,-46.564625
Faculdade_1.735.424,Privada,Fiam-faam - Centro Universitário,Fiam-faam - Morumbi - Reitoria (sede),Rua,Av Morumbi 501,Morumbi,05607-000,Faculdade,-23.579611,-46.705441
Faculdade_1.735.426,Privada,Instituto Superior de Educação Vera Cruz,Unidade Sede,Rua,R Baumann 73,Vila Leopoldina,05318-000,Faculdade,-23.528336,-46.736605
Faculdade_1.735.429,Privada,Faculdade Teológica de Ciências Humanas e Sociais Logos,Unidade Sede,Rua,R Padre Adelino 700,Belenzinho,03303-000,Faculdade,-23.544853,-46.587302
Faculdade_1.735.430,Privada,Faculdade Teológica Batista de São Paulo,Unidade Sede,Rua,R João Ramalho 466,Perdizes,05008-001,Faculdade,-23.537068,-46.670862
Faculdade_1.735.434,Privada,Faculdade Paulus de Tecnologia e Comunicação,Unidade Sede,Rua,R Major Maragliano 191,Vila Mariana,04017-030,Faculdade,-23.587719,-46.63805
Faculdade_1.735.437,Privada,Faculdade Método de São Paulo,Faculdade Método de São Paulo - Famesp - Mirandópolis,Rua,Av Jabaquara 1314,Mirandópolis,04046-200,Faculdade,-23.615655,-46.639137
Faculdade_1.735.441,Privada,Escola Superior de Engenharia e Gestão de São Paulo - Eseg,Campus - São Paulo - SP - Vila Mariana,Rua,R Vergueiro 1951,Vila Mariana,04101-000,Faculdade,-23.579325,-46.639126
Faculdade_1.735.442,Privada,Faculdade Escola Paulista de Direito,Campus - São Paulo - Liberdade,Rua,Av Liberdade 956,Liberdade,01502-001,Faculdade,-23.560846,-46.638486
Faculdade_1.735.458,Privada,Centro Universitário Álvares Penteado,Campus - São Paulo - Liberdade,Rua,Av da Liberdade 532,Liberdade,01502-001,Faculdade,-23.557246,-46.637213
Faculdade_1.735.460,Privada,Faculdade de Informática e Administração Paulista,Unidade Sede,Rua,Av Lins de Vasconcelos 1264,Cambuci,01538-001,Faculdade,-23.574449,-46.62356
Faculdade_1.735.464,Privada,Centro Universitário São Camilo,Campus - São Paulo - Ipiranga,Rua,Av Pompéia 888,Perdizes,04263-200,Faculdade,-23.531909,-46.68664
Faculdade_1.735.465,Privada,Centro Universitário São Camilo,Campus Pompéia,Rua,R Raul Pompéia 144,Pompéia,05025-010,Faculdade,-23.567151,-46.779242
Faculdade_1.735.467,Privada,Faculdade de Tecnologia Senai Mariano Ferraz,Unidade - São Paulo - Vila Leopoldina,Rua,R Jaguaré Mirim 71,Vila Leopoldina,05311-020,Faculdade,-23.526645,-46.735891
Faculdade_1.735.475,Privada,Escola Superior de Artes Célia Helena,Unidade Sede,Rua,Av São Gabriel 462,Itaim Bibi,01435-000,Faculdade,-23.57917,-46.670572
Faculdade_1.735.647,Privada,Centro Universitário das Faculdades Metropolitanas Unidas,Fmu - Liberdade / Prédio 10,Rua,Av Liberdade 654,Liberdade,01502-001,Faculdade,-23.558551,-46.637278
Faculdade_1.735.648,Privada,Universidade Anhembi Morumbi,Campus Vila Olimpia,Rua,R Casa do Ator,Vila Olímpia,04546-000,Faculdade,-20.738465,-48.913529
Faculdade_1.735.649,Privada,Universidade Anhembi Morumbi,Campus Mooca,Rua,R Dr Almeida Lima 1124 e 1134,Brás,03164-000,Faculdade,-23.545026,-46.615145
Faculdade_1.735.783,Privada,Pontifícia Universidade Católica de São Paulo,São Paulo - Campus Santana,Rua,R Vonluntários da Pátria 1653,Santana,02011-300,Faculdade,-23.505812,-46.626971
Faculdade_1.735.784,Privada,Pontifícia Universidade Católica de São Paulo,São Paulo - Sede - Campus Monte Alegre,Rua,R Monte Alegre 984,Perdizes,05014-901,Faculdade,-23.537989,-46.671231
Faculdade_1.735.860,Privada,Universidade Anhanguera de São Paulo,São Paulo (mr),Rua,Av Braz Leme 3029,Santana,02022-001,Faculdade,-23.503292,-46.630149
Faculdade_1.735.863,Privada,Universidade Anhanguera de São Paulo,Sao Paulo (vm),Rua,R Afonso Celso 235,Vila Mariana,04119-901,Faculdade,-23.593683,-46.634773
Faculdade_1.735.864,Privada,Universidade Nove de Julho,Santo Amaro,Rua,R Amador Bueno 389/491,Santo Amaro,04752-900,Faculdade,-23.652789,-46.712512
Faculdade_1.735.985,Privada,Universidade Paulista,Campus VIIi - Paulista,Rua,Av Paulista 900,Bela Vista,01310-100,Faculdade,-23.565557,-46.651091
Faculdade_1.735.986,Privada,Universidade Paulista,Campus XIi - Vergueiro,Rua,R Apeninos 267,Aclimação,01533-000,Faculdade,-23.446302,-46.412294
Faculdade_1.735.987,Privada,Universidade Paulista,Campus Indianópolis,Rua,R Doutor Bacelar 1212,Mirandópolis,04026-002,Faculdade,-23.604736,-46.648599
Faculdade_1.735.993,Privada,Insper Instituto de Ensino e Pesquisa,Unidade Sede,Rua,R Quatá 300,Vila Olímpia,04546-042,Faculdade,-20.738465,-48.913529
Faculdade_1.736.151,Privada,Centro Universitário das Faculdades Metropolitanas Unidas,Fmu - Santo Amaro,Rua,Av Santo Amaro 1239,Vila Nova Conceição,04505-002,Faculdade,-23.938662,-46.337011
Faculdade_1.736.152,Pública,Universidade de São Paulo,"Escola de Artes, Ciências e Humanidades - Each",Rua,R Arlindo Bettio 1000,Vila Guaraciaba,03828-000,Faculdade,-23.482455,-46.498648
Faculdade_1.736.153,Privada,Faculdade de Ciências Médicas da Santa Casa São Paulo,Campus - São Paulo - Vila Buarque,Rua,R Doutor Cesário Mota Júnior 61,Vila Buarque,01221-020,Faculdade,-23.542259,-46.648778
Faculdade_1.736.155,Privada,Universidade Ibirapuera,Unidade Sede - Chácara Flora,Rua,Av Interlagos 1329,Jardim Marajoara,04661-100,Faculdade,-23.664957,-46.678214
Faculdade_1.736.156,Privada,Universidade Paulista,Campus IX- Pinheiros,Rua,R PE Carvalho 566,Pinheiros,05427-020,Faculdade,-23.564899,-46.696865
Faculdade_1.736.157,Privada,Universidade Paulista,Campus XIii - Paraíso,Rua,R Vergueiro 1211,Aclimação,01504-000,Faculdade,-23.572713,-46.639609
Faculdade_1.736.158,Privada,Universidade Paulista,Campus X - Norte,Rua,R Amazonas da Silva 737,Vila Guilherme,02051-001,Faculdade,-23.512829,-46.609734
Faculdade_1.736.161,Privada,Universidade Paulista,Cidade Universitária,Rua,Av Torres de Oliveira 330,Jaguaré,05347-020,Faculdade,-23.551135,-46.735639
