id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Hipermercados e Supermercados_10.400.924,Assaí Atacadista,Assaí Atacadista,Rua,Rua Javari,Mooca,03112-100,Hipermercados e Supermercados,-23.553748,-46.604115
Hipermercados e Supermercados_10.408.155,Comper,Comper - Escritório São Paulo,Rua,Rua Tabapuã,Itaim Bibi,04530-040,Hipermercados e Supermercados,-23.582728,-46.674592
Hipermercados e Supermercados_10.416.195,Roldão,Roldão Atacadista,Rua,Av. Cupecê,Cidade Ademar,04365-001,Hipermercados e Supermercados,-23.657519,-46.667622
Hipermercados e Supermercados_10.416.196,Roldão,Roldão Auto Serviço Comércio de Alimentos,Rua,Av. Dr. Gastão Vidigal,Vila Leopoldina,05314-000,Hipermercados e Supermercados,-23.536674,-46.731924
Hipermercados e Supermercados_10.416.205,Roldão,Roldão Importadora e Distribuidora,Rua,R. Barão de Paranapiacaba,Centro Histórico de São Paulo,01004-000,Hipermercados e Supermercados,-23.677416,-46.584889
Hipermercados e Supermercados_10.416.206,Roldão,Roldão Auto Serviço Comércio de Alimentos,Rua,R. Brentano,Vila Leopoldina,05302-041,Hipermercados e Supermercados,-23.532242,-46.725773
Hipermercados e Supermercados_10.416.207,Roldão,Roldao Auto Serviço Comercio de Alimentos LTDA,Rua,R. Inácio Monteiro,Jardim Felicidade (zona Oeste),05143-030,Hipermercados e Supermercados,-23.652387,-46.533937
Hipermercados e Supermercados_10.416.208,Roldão,Roldão Auto Serviço,Rua,R. Inácio Monteiro,Jardim São Paulo,08474-480,Hipermercados e Supermercados,-23.564467,-46.415363
Hipermercados e Supermercados_10.416.209,Roldão,Roldão Carandiru,Rua,R. José Anildo da Mata,Jardim Brasil (zona Norte),02224-110,Hipermercados e Supermercados,-23.487468,-46.574614
Hipermercados e Supermercados_10.416.210,Roldão,Roldão Auto Serviço Comércio de Alimentos,Rua,R. Manuel Bueno da Fonseca,Jardim Sao Luis (zona Leste),08121-000,Hipermercados e Supermercados,-23.652387,-46.533937
Hipermercados e Supermercados_10.416.212,Roldão,Roldão Atacadista,Rua,R. do Manifesto,Ipiranga,04209-001,Hipermercados e Supermercados,-23.703486,-46.6204
Hipermercados e Supermercados_10.428.817,Líder,Brasil Lider Sacarias LTDA,Rua,Av. Líder,Cidade Líder,03586-000,Hipermercados e Supermercados,-23.555473,-46.478851
Hipermercados e Supermercados_10.428.819,Líder,Lider - Brasil,Rua,Av. Rio das Pedras,Jardim Vila Formosa,03452-000,Hipermercados e Supermercados,-23.570544,-46.507281
Hipermercados e Supermercados_10.428.829,Líder,Líder Brasil Comissária de Avarias,Rua,R. Maquerobi,Vila da Saúde,04053-030,Hipermercados e Supermercados,-23.61785,-46.6377
Hipermercados e Supermercados_10.461.285,Zaffari,Zaffari - Administração,Rua,Av. Ermano Marchetti,Água Branca,05038-000,Hipermercados e Supermercados,-22.751938,-47.629119
Hipermercados e Supermercados_10.492.597,Spani Atacadista,Spani Atacadista,Rua,Estr. Ecoturística de Parelheiros,Jardim do Centro,04865-005,Hipermercados e Supermercados,-23.469317,-46.53086
Hipermercados e Supermercados_10.492.599,Spani Atacadista,Spani Atacadista,Rua,Praça Dr. Almeida Junqueira,Maranhão,03089-090,Hipermercados e Supermercados,-23.530889,-46.561663
Hipermercados e Supermercados_10.492.602,Spani Atacadista,Spani Atacadista,Rua,Rod. Raposo Tavares,Jardim Cláudia,05577-200,Hipermercados e Supermercados,-23.586236,-46.811597
Hipermercados e Supermercados_10.492.605,Spani Atacadista,Spani Atacadista,Rua,Rua Orfanato,Vila Prudente,03131-010,Hipermercados e Supermercados,-23.57787,-46.577173
Hipermercados e Supermercados_10.494.727,Carrefour Bairro,Carrefour Bairro,Rua,Av. Santo Amaro,Brooklin,04701-000,Hipermercados e Supermercados,-23.639888,-46.700715
Hipermercados e Supermercados_10.573.224,Mini Mercado Extra,Mini Mercado Extra,Rua,Av N.sra. da Assunção,Vila Butantã,05359-001,Hipermercados e Supermercados,-23.57004,-46.745013
Hipermercados e Supermercados_10.573.229,Mini Mercado Extra,Mini Mercado Extra,Rua,Av. Prof. Celestino Bourrol,Limão,02710-001,Hipermercados e Supermercados,-23.508697,-46.673627
Hipermercados e Supermercados_10.573.310,Mini Mercado Extra,Mini Mercado Extra,Rua,Av. Atlântica,Av. Atlântica,04772-000,Hipermercados e Supermercados,-21.57578,-51.215314
Hipermercados e Supermercados_10.573.387,Mini Mercado Extra,Mini Mercado Extra,Rua,Av. Corifeu de Azevedo Marques,Cidade São Francisco,05339-005,Hipermercados e Supermercados,-23.661074,-46.820136
Hipermercados e Supermercados_10.573.456,Mini Mercado Extra,Mini Mercado Extra,Rua,Av. Gen. Ataliba Leonel,Parada Inglesa,02242-001,Hipermercados e Supermercados,-23.495485,-46.610929
Hipermercados e Supermercados_10.573.657,Mini Mercado Extra,Mini Mercado Extra,Rua,Av. Prof. Francisco Morato,Vila Sonia,05521-000,Hipermercados e Supermercados,-23.588592,-46.728142
Hipermercados e Supermercados_10.573.670,Mini Mercado Extra,Mini Mercado Extra,Rua,Av. República Argentina,"Vila Paiva, São Paulo",02072-002,Hipermercados e Supermercados,-23.542293,-46.640352
Hipermercados e Supermercados_10.573.767,Mini Mercado Extra,Mini Mercado Extra,Rua,Av. da Justiça,Vila Rui Barbosa,03734-140,Hipermercados e Supermercados,-21.2665,-49.948294
Hipermercados e Supermercados_10.574.791,Mini Mercado Extra,Mini Mercado Extra,Rua,R. Maciel Monteiro,Artur Alvim,03566-000,Hipermercados e Supermercados,-23.540296,-46.49118
Hipermercados e Supermercados_10.574.814,Mini Mercado Extra,Mini Mercado Extra,Rua,R. Manuel Álvares da Costa,Rio Pequeno,05374-100,Hipermercados e Supermercados,-23.580905,-46.761094
Hipermercados e Supermercados_10.575.035,Mini Mercado Extra,Mini Mercado Extra,Rua,R. Ribeirão Branco,Água Rasa,03188-050,Hipermercados e Supermercados,-23.565663,-46.576693
Hipermercados e Supermercados_10.611.881,Giga Atacado,Cd Giga Atacado,Rua,Av. Alexandre Mackenzie,Jaguaré,05322-000,Hipermercados e Supermercados,-23.53829,-46.749334
