id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Fast Food_10984873,Griletto,Griletto Pacaembu,Rua,Praça de Alimentação Atacadão,Barra Funda,01138-000,Fast Food,-23.526842,-46.674319
Fast Food_10984894,Baked Potato,Baked Potato,Rua,Tv. Casalbuono,Vila Guilherme,02049-000,Fast Food,-23.517439,-46.61691
Fast Food_10984898,Mcdonald´s,Mcdonalds,Rua,Rua Cel. Xavier de Toledo,Centro Histórico de São Paulo,01048-970,Fast Food,-23.552139,-46.647198
Fast Food_10984921,Mcdonald´s,Mcdonalds,Rua,Av. das Nações Unidas,Pinheiros,04578-000,Fast Food,-23.577956,-46.694608
Fast Food_10984960,Mcdonald´s,Mcdonalds,Rua,R. Tiers,Pari,03009-010,Fast Food,-23.531299,-46.62027
Fast Food_10984964,Subway,Subway,Rua,"Raposo Shopping, SP-270, Km 14",Jardim Arpoador,05577-200,Fast Food,-23.552139,-46.647198
Fast Food_10985035,China In Box,China In Box Mooca,Rua,Av. Paes de Barros,Vila Prudente,03114-001,Fast Food,-23.567298,-46.591549
Fast Food_10985057,Taco Bell,Taco Bell,Rua,Av. Aricanduva,Av. Aricanduva,03527-900,Fast Food,-23.561292,-46.511863
Fast Food_10985060,Ragazzo,Ragazzo,Rua,R. dos Otonis,Vila Clementino,04025-002,Fast Food,-23.595254,-46.645059
Fast Food_10985115,Taco Bell,Taco Bell Shopping Eldorado,Rua,Av. Rebouças,Av. Rebouças,05402-918,Fast Food,-23.338909,-47.675531
Fast Food_10985146,Spoleto,Spoleto,Rua,Av. das Nações Unidas,Boçava,05477-000,Fast Food,-23.5247,-46.758439
Fast Food_10985181,Burger King,Burger King Boa Vista Shopping SP,Rua,R. Borba Gato,Santo Amaro,04747-030,Fast Food,-23.656903,-46.699687
Fast Food_10985277,Ragazzo,Ragazzo,Rua,Av. Waldemar Carlos Pereira,Vila Talarico,03533-001,Fast Food,-23.779579,-45.358564
