id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude,geometry
Escola Privada_1769802,Privada,Cei Indir Jardim Tereza,Rua,"Pedro Pomar, 120",Jardim Elisa Maria,2875020,Escola Privada,-23.461294,-46.680582,POINT (-46.680582 -23.461294)
Escola Privada_1769807,Privada,Cei Indir Antonio Correia,Rua,"Odassi Nazzali, 310",Vila Bela Vista,2617100,Escola Privada,-23.4687116,-46.6605508,POINT (-46.6605508 -23.4687116)
Escola Privada_1769809,Privada,Cei Indir Jardim Maracana,Rua,"Jequie, 10",Jardim Maracana,2839120,Escola Privada,-23.4758244,-46.6823801,POINT (-46.6823801 -23.4758244)
Escola Privada_1769810,Privada,Cei Indir Vila Nova Cachoeirinha,Rua,"General Penha Brasil, 61",Vila Nova Cachoeirinha,2673000,Escola Privada,-23.45974,-46.6734432,POINT (-46.6734432 -23.45974)
Escola Privada_1769814,Privada,Cr P Conv Sao Domingos Educandario,Rua,"Presgrave do Amaral, 160",Vila dos Remedios,5103010,Escola Privada,-23.5140853,-46.7524117,POINT (-46.7524117 -23.5140853)
Escola Privada_1769817,Privada,Cr P Conv Sao Paulo Apostolo,Rua,"Monte Azul Paulista, 322",Vila Nova Parada,2883050,Escola Privada,-23.4403624,-46.7153796,POINT (-46.7153796 -23.4403624)
Escola Privada_1769822,Privada,Cr P Conv Sao Pedrinho,Rua,"Monte Azul Paulista, 315",Vila Nova Parada,2883050,Escola Privada,-23.4403624,-46.7153796,POINT (-46.7153796 -23.4403624)
Escola Privada_1769823,Privada,Cei Indir Parque Anhanguera,Rua,"Dionisio Bellante, 419",Jardim Santa Fe,5271150,Escola Privada,-23.4310793,-46.7948036,POINT (-46.7948036 -23.4310793)
Escola Privada_1769826,Privada,Cei Indir Vila Piaui,Rua,"Francisco Olavo de Assis, S/N",Chacara Sao Joao,5109070,Escola Privada,-23.5056374,-46.7618565,POINT (-46.7618565 -23.5056374)
Escola Privada_1769837,Privada,Cr P Conv Santa Terezinha,Rua,"Jaraqui, 148",Jardim Vista Alegre,2877090,Escola Privada,-23.4519229,-46.6798444,POINT (-46.6798444 -23.4519229)
Escola Privada_1769839,Privada,Cr P Conv Nossa Senhora das Dores II,Rua,"Itatiba do Sul, 683",Jardim Vista Alegre,2878100,Escola Privada,-23.4511853,-46.6868913,POINT (-46.6868913 -23.4511853)
