id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Academia de Ginastica_11.094.654,Smart Fit,Academia Smart Fit Butanta Shopping,Rua,Av. Prof. Francisco Morato,Butantã,05512-300,Academia de Ginastica,-23.588592,-46.728142
Academia de Ginastica_11.094.655,Panobianco,Panobianco Unidade Parque Fernanda Capao Redondo,Rua,Estr. de Itapecerica,Capão Redondo,05835-004,Academia de Ginastica,-23.658826,-46.765459
Academia de Ginastica_11.094.656,Smart Fit,Academia Smart Fit Gomes de Carvalho,Rua,R. Gomes de Carvalho,Vila Olímpia,04547-005,Academia de Ginastica,-20.738465,-48.913529
Academia de Ginastica_11.094.658,Smart Fit,Academia Smart Fit Parque Sao Lucas,Rua,Av. do Oratório,Jardim Guairaca,03220-200,Academia de Ginastica,-23.652387,-46.533937
Academia de Ginastica_11.094.659,Smart Fit,Academia Smart Fit Planalto Paulista,Rua,Av. José Maria Whitaker,Planalto Paulista,04057-000,Academia de Ginastica,-23.699226,-46.56788
Academia de Ginastica_11.094.660,Smart Fit,Academia Smart Fit Cantareira Norte Shopping,Rua,Av. Raimundo Pereira de Magalhães,Jardim Pirituba,03266-000,Academia de Ginastica,-23.460084,-46.720966
Academia de Ginastica_11.094.661,Smart Fit,Academia Smart Fit Shopping Metro Itaquera,Rua,Av. José Pinheiro Borges,"Vila Campanela, São Paulo","[8420092, 8220385, 8220900]",Academia de Ginastica,-23.531539,-46.430047
Academia de Ginastica_11.094.662,Smart Fit,Academia Smart Fit Brooklin Paulista,Rua,R. Califórnia,Brooklin,04566-060,Academia de Ginastica,-23.670252,-46.801942
Academia de Ginastica_11.094.663,Smart Fit,Academia Smart Fit Bom Parto,Rua,R. Azevedo Soares,Vila Gomes Cardim,03322-001,Academia de Ginastica,-23.652387,-46.533937
Academia de Ginastica_11.094.664,Panobianco,Panobianco Boturussu,Rua,Av. São Miguel,Jardim Cotinha,03871-100,Academia de Ginastica,-23.652387,-46.533937
Academia de Ginastica_11.094.665,Smart Fit,Academia Smart Fit Belmira Marin,Rua,Av. Dona Belmira Marin,Parque Brasil,04846-000,Academia de Ginastica,-23.552139,-46.647198
Academia de Ginastica_11.094.666,Smart Fit,Academia Smart Fit Fiesta,Rua,Av. Guarapiranga,Guarapiranga,04762-001,Academia de Ginastica,-23.666069,-46.71464
Academia de Ginastica_11.094.667,Bio Ritmo,Academia Bio Ritmo Campo Belo,Rua,R. Barão de Jaceguai,Campo Belo,04606-000,Academia de Ginastica,-23.621335,-46.675859
Academia de Ginastica_11.094.668,Panobianco,Academia Panobianco Yervant,Rua,R. Frei Cristóvão de Lisboa,Vila Missionaria,04430-280,Academia de Ginastica,-23.686832,-46.649556
Academia de Ginastica_11.094.669,Bluefit,Bluefit,Rua,R. Santo Antônio,Bela Vista,01314-000,Academia de Ginastica,-23.551975,-46.645571
