id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Agencia Bancaria_10.024.784,Citibank,Brooklin,Rua,"Av Roque Petroni Júnior, 999",Brooklin,04707-910,Agencia Bancaria,-23.623592,-46.696818
Agencia Bancaria_10.024.785,Bradesco,"Prime Colonial,urb. Sao Paulo, SP",Rua,"R Bernardino de Campos, 25",Santo Amaro,04620-000,Agencia Bancaria,-23.621829,-46.683792
Agencia Bancaria_10.024.786,Hyundai,Matriz,Rua,"Av das Nações Unidas, 14171",Vila Gertrudes,04794-000,Agencia Bancaria,-23.622945,-46.701298
Agencia Bancaria_10.024.787,Votorantim,Filial Rochaverá,Rua,"Av das Nações Unidas, 14171",Vila Gertrudes,04794-000,Agencia Bancaria,-23.622945,-46.701298
Agencia Bancaria_10.024.788,Votorantim,Matriz,Rua,"Av das Nações Unidas, 14171",Vila Gertrudes,04794-000,Agencia Bancaria,-23.622945,-46.701298
Agencia Bancaria_10.024.790,Santander,R Constantino Souza - SP - SP,Rua,"R Vieira de Moraes, , 763",Campo Belo,04617-012,Agencia Bancaria,-23.620161,-46.673898
Agencia Bancaria_10.024.792,Bradesco,"Agência Corporate Morumbi, SP",Rua,"Av Dr Chucri Zaidan, 80",Chacara Sto Antonio,04583-110,Agencia Bancaria,-23.618596,-46.573278
Agencia Bancaria_10.024.795,Bradesco,"Prime Indianopolis,urb. Sao Paulo, SP",Rua,"Av Indianopolis, 2008",Indianopolis,04062-002,Agencia Bancaria,-23.616038,-46.649559
Agencia Bancaria_10.024.797,Bradesco,"Prime Jabaquara,urb. Sao Paulo, SP",Rua,"Av Jabaquara, 1182",Jabaquara,04046-200,Agencia Bancaria,-23.614758,-46.638803
Agencia Bancaria_10.024.798,Santander,Ag. Urb - SP - Jd. Previdencia,Rua,"Av do Cursino, 1355",Saude,04133-100,Agencia Bancaria,-23.614388,-46.616967
Agencia Bancaria_10.024.800,Bradesco,"Prime Portal do Morumbi,urb. Sao Paulo, SP",Rua,"Av Dr Guilherme Dumont Vilares, 1199",Vl.suzana,05640-001,Agencia Bancaria,-23.613808,-46.740689
Agencia Bancaria_10.024.807,Cef,"Fazenda da Juta, SP",Rua,"Av Sapopemba,, 11477",Jardim Adutora,03989-010,Agencia Bancaria,-23.620798,-46.513838
Agencia Bancaria_10.024.808,Sicoob,Sicoob PA - Indianopolis,Rua,"AL dos Anhambiquara, 1388",Indianópolis,04090-003,Agencia Bancaria,-23.288611,-47.678929
Agencia Bancaria_10.024.810,Bb,Moema,Rua,"AL dos Jurupis, 1156",Indianopolis,04088-003,Agencia Bancaria,-23.407596,-46.660995
Agencia Bancaria_10.024.813,Santander,001 - 0785 Berrini - Cap - SP,Rua,"Av Eng Luiz Carlos Berrini, 1307",Cidade Monções,04571-010,Agencia Bancaria,-23.607982,-46.69368
Agencia Bancaria_10.024.814,Santander,Ag. Urb - SP - Berrini,Rua,"Av Eng Luiz Carlos Berrini, 1307",Brooklin,04571-010,Agencia Bancaria,-23.607982,-46.69368
Agencia Bancaria_10.024.815,Santander,Ag. Urb - SP - Jd. Novo Mundo,Rua,"AL Arapanes, 1100",Moema,04524-001,Agencia Bancaria,-23.606561,-46.667263
Agencia Bancaria_10.024.816,Bb,Estilo Berrini,Rua,"Av Eng Luiz Carlos Berrini, 559",C Moncoes,04571-010,Agencia Bancaria,-23.6018,-46.69144
Agencia Bancaria_10.024.817,Citibank,Moema,Rua,"Av Ibirapuera, 2359",Moema,04029-200,Agencia Bancaria,-23.604873,-46.6629
Agencia Bancaria_10.024.819,Itaú,Sao Paulo/vergueiro,Rua,"Av do Cursino, 187",Saúde,04133-000,Agencia Bancaria,-23.604318,-46.61559
Agencia Bancaria_10.024.820,Safra,Moema,Rua,"Av Ibirapuera, 2332",Indianopolis,04028-002,Agencia Bancaria,-23.603984,-46.663598
Agencia Bancaria_10.024.821,Santander,001 - 2170 Jd da Saúde - Cap - SP,Rua,"Av do Cursino, 1526",Jd. da Saude,04149-030,Agencia Bancaria,-22.109489,-49.070391
Agencia Bancaria_10.024.822,Bradesco,"Prime Moema,urb. Sao Paulo, SP",Rua,"Av Ibirapuera, 2220",Indianopolis,04028-001,Agencia Bancaria,-23.60354,-46.662491
Agencia Bancaria_10.024.823,Santander,Av Ibirapuera - SP - SP,Rua,"Av Ibirapuera, 2210",Indianopolis,04028-001,Agencia Bancaria,-23.60334,-46.662505
Agencia Bancaria_10.024.824,Santander,001 2070 Av. Ibirapuera - SP Capital,Rua,"Av Ibirapuera, 2210",Indianópolis,04028-001,Agencia Bancaria,-23.60334,-46.662505
Agencia Bancaria_10.024.825,Santander,001 - 4644 Urb - SP - Av. Jamaris,Rua,"Av Ibirapuera, 2210",Indianopolis,04028-001,Agencia Bancaria,-23.60334,-46.662505
Agencia Bancaria_10.024.826,Bradesco,"Prime Alto do Ipiranga,urb. Sao Paulo,sp",Rua,"R Santa Cruz, 2375",Vila Mariana,04121-002,Agencia Bancaria,-23.602339,-46.615843
Agencia Bancaria_10.024.827,Bradesco,"Agência Corporate Ipiranga, SP",Rua,"R Santa Cruz, 2375",Vila Mariana,04121-002,Agencia Bancaria,-23.602339,-46.615843
Agencia Bancaria_10.024.828,Ebury banco de Câmbio,Matriz,Rua,"Av das Nações Unidas, 11633",Brooklin Paulista,04578-901,Agencia Bancaria,-23.5247,-46.758439
Agencia Bancaria_10.024.829,Santander,Alto do Ipiranga - SP - SP,Rua,"R Silva Bueno, 2165",Ipiranga,04208-052,Agencia Bancaria,-23.59765,-46.600364
Agencia Bancaria_10.024.830,Sicredi,79 - Pac Ipiranga,Rua,"R Silva Bueno, 2104",Ipiranga,04208-002,Agencia Bancaria,-23.59715,-46.601
Agencia Bancaria_10.024.832,Bradesco,"Prime Borges Lagoa,urb. Sao Paulo, SP",Rua,"R Borges Lagoa, 1080",Vl.clementino,04038-002,Agencia Bancaria,-23.59638,-46.647317
Agencia Bancaria_10.024.833,Crédit Agricole,Matriz,Rua,"Av Brigadeiro Faria Lima, 4440",Itaim Bibi,04538-132,Agencia Bancaria,-23.595178,-46.680861
Agencia Bancaria_10.024.835,Hsbc,Matriz,Rua,"R Funchal, S/N",Vila Olimpia,04551-060,Agencia Bancaria,-20.738465,-48.913529
Agencia Bancaria_10.024.838,Bb,Estilo e. P. Medicina,Rua,"R Botucatu, 720",Vila Clementino,04023-062,Agencia Bancaria,-23.597718,-46.643024
Agencia Bancaria_10.024.839,Bradesco,"Prime Vila Nova Conceicao,urb. Sao Paulo, SP",Rua,"Av Santo Amaro, 919",Vl.nova Conceicao,04505-001,Agencia Bancaria,-23.592199,-46.67233
Agencia Bancaria_10.024.840,Santander,001 - 4731 Urb - SP - Av. Frco. Morato,Rua,"Av Prof Francisco Morato, 3579",Vila Sonia,05521-000,Agencia Bancaria,-23.59183,-46.731112
Agencia Bancaria_10.024.841,Santander,Vila Sônia I,Rua,"Av Professor Francisco Morato, 3579",Vila Sônia,05521-000,Agencia Bancaria,-23.59183,-46.731112
Agencia Bancaria_10.024.844,Bradesco,"Prime Av. Juscelino Kubitschek,urb. Sao Paulo, SP",Rua,"Av Brigadeiro Faria Lima, 3930",Itaim Bibi,04538-132,Agencia Bancaria,-23.590192,-46.682082
Agencia Bancaria_10.024.845,Santander,001 4503 Lima e Silva - SP I,Rua,"R Silva Bueno, 1319",Ipiranga,04208-051,Agencia Bancaria,-23.589965,-46.601156
Agencia Bancaria_10.024.846,Santander,001 2037 Lima e Silva - SP,Rua,"R Silva Bueno, 1319",Ipiranga,04208-051,Agencia Bancaria,-23.589965,-46.601156
Agencia Bancaria_10.024.847,Bradesco,"Prime Ipiranga,urb. Sao Paulo, SP",Rua,"R Silva Bueno, 1272",Ipiranga,04208-000,Agencia Bancaria,-23.589532,-46.601831
Agencia Bancaria_10.024.848,Bb,Corp Bank II,Rua,"Av Brigadeiro Faria Lima, 3729",Itaim Bibi,04538-133,Agencia Bancaria,-23.58928,-46.681557
Agencia Bancaria_10.024.849,Bb,Corp Bank Faria Lima,Rua,"Av Brigadeiro Faria Lima, 3729",Itaim Bibi,04538-133,Agencia Bancaria,-23.58928,-46.681557
