longitude,latitude,emtp_situa,emtp_linha,emtp_nome,emtp_empre,emtp_sigla
-46.6352946305691,-23.54319977256248,PROJETADA,CELESTE,SÃO BENTO,METRO,BTO
-46.53490959349173,-23.47689547435202,PROJETADA,CELESTE,VILA AUGUSTA,METRO,AUG
-46.575097980645,-23.50183250338868,PROJETADA,CELESTE,JARDIM JAPÃO,METRO,JJP
-46.59303353809174,-23.52246755969191,PROJETADA,CELESTE,VILA MARIA,METRO,MAR
-46.54577184700636,-23.48731160063396,PROJETADA,CELESTE,DUTRA,METRO,DUT
-46.62426764821853,-23.53914164308584,PROJETADA,CELESTE,PARI,METRO,PRI
-46.61181965595144,-23.53299495991409,PROJETADA,CELESTE,SILVA TELES,METRO,STL
-46.52605588905158,-23.46192385946733,PROJETADA,CELESTE,BOSQUE MAIA,METRO,BSQ
-46.52888923485115,-23.46987839853755,PROJETADA,CELESTE,GUARULHOS,METRO,GCT
-46.57347332253936,-23.48965779928244,PROJETADA,CELESTE,JARDIM BRASIL,METRO,JBR
-46.55444926769812,-23.48963721183786,PROJETADA,CELESTE,ITAPEGICA,METRO,ITA
-46.56379950351554,-23.48570789810633,PROJETADA,CELESTE,JARDIM JULIETA,METRO,JUL
-46.63913152145957,-23.54925382898194,PROJETADA,CELESTE,ANHANGABAÚ,METRO,GBU
-46.70030054854986,-23.51745534692434,PROJETADA,ROSA,LAPA,METRO,LAP
-46.70223630805604,-23.52709051634877,PROJETADA,ROSA,VILA ROMANA,METRO,ROM
-46.70100024607544,-23.54030546190536,PROJETADA,ROSA,CERRO CORÁ,METRO,COR
-46.6901270246991,-23.55302389443131,PROJETADA,ROSA,GIRASSOL,METRO,GIR
-46.68486412342394,-23.56048562331636,PROJETADA,ROSA,TEODORO SAMPAIO,METRO,TEO
-46.68275951661341,-23.56674820515527,PROJETADA,ROSA,FRADIQUE COUTINHO,METRO,FRA
-46.68277328531664,-23.58396842599736,PROJETADA,ROSA,TABAPUÃ,METRO,TUA
-46.6802565827866,-23.59252906483675,PROJETADA,ROSA,JESUÍNO CARDOSO,METRO,JEC
-46.67284074620806,-23.59687244895946,PROJETADA,ROSA,HÉLIO PELLEGRINO,METRO,HPG
-46.66279407894974,-23.60307084103895,PROJETADA,ROSA,MOEMA,METRO,MOE
-46.65451527554264,-23.6097124849216,PROJETADA,ROSA,RUBEM BERTA,METRO,RUB
-46.64799775012962,-23.61659702488246,PROJETADA,ROSA,INDIANÓPOLIS,METRO,IND
-46.64002548890721,-23.61857780077496,PROJETADA,ROSA,SAÚDE,METRO,SAU
-46.62723639543569,-23.62336305357422,PROJETADA,ROSA,ABRAÃO DE MORAIS,METRO,AMO
-46.61572895461713,-23.63232031744527,PROJETADA,ROSA,CURSINO,METRO,CSN
-46.60644852753318,-23.64126049957632,PROJETADA,ROSA,ARLINDO VIEIRA,METRO,AVI
-46.59682411935298,-23.64675142663891,PROJETADA,ROSA,LIVIERO,METRO,LIV
-46.59540580396956,-23.65589557400647,PROJETADA,ROSA,TABOÃO-PAULICEIA,METRO,TAP
-46.57086053084392,-23.6536087650356,PROJETADA,ROSA,RUDGE RAMOS,METRO,RDG
-46.5617198011063,-23.65242793787739,PROJETADA,ROSA,AFONSINA,METRO,AFS
-46.54897294493717,-23.66066909307664,PROJETADA,ROSA,PRÍNCIPE DE GALES,METRO,GAL
-46.53268747986285,-23.65958508578312,PROJETADA,ROSA,PORTUGAL,METRO,PTG
-46.52914978549646,-23.65124455055231,PROJETADA,ROSA,SANTO ANDRÉ,METRO,AND
-46.77345375405447,-23.58186104623655,PROJETADA,MARROM,MONTE BELO,METRO,MBL
-46.78754868195254,-23.58411011232084,PROJETADA,MARROM,JARDIM BOA VISTA,METRO,JBV
-46.80044201334208,-23.5819566509906,PROJETADA,MARROM,VICTOR CIVITA,METRO,VIC
-46.81188920117275,-23.58504719512613,PROJETADA,MARROM,SANTA MARIA,METRO,SMA
-46.83155354111189,-23.58966751324036,PROJETADA,MARROM,GRANJA VIANA,METRO,GVN
-46.8448466755671,-23.59834176119575,PROJETADA,MARROM,MESOPOTÂMIA,METRO,MES
-46.85692825949116,-23.60050572797517,PROJETADA,MARROM,ESTRADA DO EMBU,METRO,EMB
-46.87686174345751,-23.59565274063653,PROJETADA,MARROM,PARQUE ALEXANDRA,METRO,ALE
-46.8991922572404,-23.59994259995161,PROJETADA,MARROM,SABIÁ,METRO,SAB
-46.91121393872309,-23.6024623968918,PROJETADA,MARROM,SANTO ANTÔNIO,METRO,ANT
-46.92090032077572,-23.60432217784833,PROJETADA,MARROM,COTIA,METRO,COT
-46.75961225217318,-23.57143720493465,PROJETADA,MARROM,JARDIM ESMERALDA,METRO,SRA
-46.74653192057263,-23.56288002949816,PROJETADA,MARROM,RIO PEQUENO,METRO,RIO
-46.72575119458216,-23.56049859680977,PROJETADA,MARROM,UNIVERSIDADE DE SÃO PAULO,METRO,USP
-46.70903833806805,-23.57053576983958,PROJETADA,MARROM,VITAL BRASIL,METRO,VIB
-46.69472413219841,-23.56659797527824,PROJETADA,MARROM,FARIA LIMA,METRO,FAL
-46.68601635726259,-23.560009439648,PROJETADA,MARROM,TEODORO SAMPAIO,METRO,TEO
-46.67706792404633,-23.55102640920917,PROJETADA,MARROM,SUMARÉ,METRO,SUM
-46.6993099828197,-23.57173757686595,PROJETADA,MARROM,HEBRAICA-REBOUÇAS,METRO,HEB
