longitude,latitude,etr_nome,etr_linha,etr_situac,etr_empres
-46.64053059037006,-23.53210903934281,JÚLIO PRESTES,DIAMANTE,OPERANDO,VIAMOBILIDADE
-46.7613186813545,-23.53073677614283,PRESIDENTE ALTINO,DIAMANTE,OPERANDO,VIAMOBILIDADE
-46.80631077094573,-23.52233528436868,QUITAÚNA,DIAMANTE,OPERANDO,VIAMOBILIDADE
-46.41408927951338,-23.71333772579248,RIBEIRÃO PIRES,TURQUESA,OPERANDO,CPTM
-46.39114510856088,-23.74301456142368,RIO GRANDE DA SERRA,TURQUESA,OPERANDO,CPTM
-46.916675316307,-23.52865625740981,SAGRADO CORAÇÃO,DIAMANTE,OPERANDO,VIAMOBILIDADE
-46.84749449158498,-23.51609124887333,SANTA TEREZINHA,DIAMANTE,OPERANDO,VIAMOBILIDADE
-46.56960501834563,-23.60935624241166,SÃO CAETANO,TURQUESA,OPERANDO,CPTM
-46.44327151441934,-23.49004166082,SÃO MIGUEL PAULISTA,SAFIRA,OPERANDO,CPTM
-46.30758337945176,-23.53348616607998,SUZANO,CORAL,OPERANDO,CPTM
-46.58896319081713,-23.59226529033518,TAMANDUATEÍ,TURQUESA,OPERANDO,CPTM
-46.54371940939194,-23.62576612107136,UTINGA,TURQUESA,OPERANDO,CPTM
-46.82863666288362,-23.2085015036333,VÁRZEA PAULISTA,RUBI,OPERANDO,CPTM
-46.74370988517381,-23.46941556789907,VILA CLARICE,RUBI,OPERANDO,CPTM
-46.61642381072478,-23.54353334148203,BRÁS,TURQUESA,OPERANDO,CPTM
-46.73236261346513,-23.54553225771799,VILLA-LOBOS - JAGUARÉ,ESMERALDA,OPERANDO,VIAMOBILIDADE
-46.74691693814374,-23.43696572102851,VILA AURORA,RUBI,OPERANDO,CPTM
-46.94706068295901,-23.54448751136511,ESTAÇÃO SANTA RITA,DIAMANTE,OPERANDO,VIAMOBILIDADE
-46.2576802345487,-23.54230973697615,JUNDIAPEBA,CORAL,OPERANDO,CPTM
-46.70320481350168,-23.51724642916021,LAPA (LINHA 7),RUBI,OPERANDO,CPTM
-46.69855096482178,-23.51967601187942,LAPA (LINHA 8),DIAMANTE,OPERANDO,VIAMOBILIDADE
-46.71872933167233,-23.65572000749051,SANTO AMARO (LINHA 9),ESMERALDA,OPERANDO,VIAMOBILIDADE
-46.63466183146327,-23.5344728183259,LUZ,RUBI,OPERANDO,CPTM
-46.46108770709477,-23.66777713055388,MAUÁ,TURQUESA,OPERANDO,CPTM
-46.1975292330467,-23.52128336710265,MOGI DAS CRUZES,CORAL,OPERANDO,CPTM
-46.60789907321248,-23.5575782062389,MÓOCA,TURQUESA,OPERANDO,CPTM
-46.75329907303001,-23.40428683820765,PERUS,RUBI,OPERANDO,CPTM
-46.71441236928003,-23.50240510128978,PIQUERI,RUBI,OPERANDO,CPTM
-46.7255750472515,-23.48803258800325,PIRITUBA,RUBI,OPERANDO,CPTM
-46.34317936938164,-23.52492595430837,POÁ,CORAL,OPERANDO,CPTM
-46.5364859676879,-23.63732342819256,PREFEITO SALADINO,TURQUESA,OPERANDO,CPTM
-46.72322748780815,-23.6395902082182,JOÃO DIAS,ESMERALDA,OPERANDO,VIAMOBILIDADE
-46.70879660233466,-23.75381481244655,MENDES-VILA NATAL,ESMERALDA,OPERANDO,VIAMOBILIDADE
