longitude,latitude,pt_nome,pt_descric,pt_enderec
-46.68471425570529,-23.51589023937987,"AV. MQ. DE SÃO VICENTE , 2728",R FRANCISCO LUIS DE SOUZA JUNIOR/ AV NICOLAS BOER,FRANCISCO LUIS DE SOUZA JUNIOR/ AV NICOLAS BOER
-46.7185210998428,-23.47876950274008,"AV. COM. FEIZ ZARZUR , 310",AV. MIGUEL DE CASTRO,AV. MIGUEL DE CASTRO
-46.65849297854001,-23.66038252229776,"R. CDE. MOREIRA LIMA , 295",TR LACERDA COUTINHO/ R VIRGILIO DE LEMOS,TR LACERDA COUTINHO/ R VIRGILIO DE LEMOS
-46.64410711086584,-23.65699849514646,"R. DAS GUASSATUNGAS , 88",RUA DAS CRUZADAS,UA DAS CRUZADAS
-46.68134749047866,-23.45548549817067,"R. BERNARDO DE VERA , 11",R. MANOEL AQUILINO DOS SANTOS,MANOEL AQUILINO DOS SANTOS
-46.79401563704211,-23.42954894109194,"R. ALBERTO ALVAREZ , 189",RUA ALBERTO GENTILI,UA ALBERTO GENTILI
-46.64065467262169,-23.50189917330268,"R. ALFREDO PUJOL , 1627",R. HELIODORA,HELIODORA
-46.66277323288909,-23.86483563361488,"ESTR. DA BARRAGEM , 9000",ESTRADA EVANGELISTA DE SOUZA,ESTRADA EVANGELISTA DE SOUZA
-46.73385728623806,-23.6779396656862,"AV. GUARAPIRANGA , 1103",R JAGUARIBARA/ R IRUTIM,JAGUARIBARA/ R IRUTIM
-46.41239451438577,-23.52367641317413,"R. BENEDITO DE SOUZA BORGES , 60",R CON.  ANTONIO MANZI,CON.  ANTONIO MANZI
-46.70113462394028,-23.659556650883,"AV. WASHINGTON LUIZ , 340",R SAO LEONIDAS/ R PIRANCHIN,SAO LEONIDAS/ R PIRANCHIN
-46.67622962156383,-23.72059930827272,"AV. PRES. JOÃO GOULART , 2720",Pça Ramires Ferreira,Pça Ramires Ferreira
-46.49603088216046,-23.50294874841104,"R. MONS. MEIRELES , 700",R SANTO ANTÔNIO DO RIACHO,SANTO ANTÔNIO DO RIACHO
-46.5279636047864,-23.50566382898522,"AV. CANGAIBA , 2836",R ALMIRANTE BULCAO VIANA/ R MAESTRO VASCONCELOS CHAVES,ALMIRANTE BULCAO VIANA/ R MAESTRO VASCONCELOS CHAVES
-46.68273049625618,-23.45040252481585,"R. FIRMINÓPOLIS , 164",R ARARIPIRA/ R PIAPARA,ARARIPIRA/ R PIAPARA
-46.79026259745057,-23.45030283801268,"R. FRANCISCO BELLAZI , 290",R DENIS BREAN/ R OSORIO ALVES DE CASTRO,DENIS BREAN/ R OSORIO ALVES DE CASTRO
-46.6316098364574,-23.47613426169439,"AV. STA. INÊS , 281",R ENGENHEIRO JEAN BUFF/ R PROFESSOR JOSE PARDELLI,ENGENHEIRO JEAN BUFF/ R PROFESSOR JOSE PARDELLI
-46.70180512065029,-23.5135482995775,"AV. ERMANO MARCHETTI , 1051",R BELCHIOR CARNEIRO/ PC SEBASTIAO JAYME PINTO,BELCHIOR CARNEIRO/ PC SEBASTIAO JAYME PINTO
-46.61463662017744,-23.58083874664283,"R. CEL. DIOGO , 1430",R ROCHA GALVAO/ R DOUTOR CLEMENTE JOBIM,ROCHA GALVAO/ R DOUTOR CLEMENTE JOBIM
-46.63004960877154,-23.54649794412319,"TERM. PARQUE DOM PEDRO II - PLAT 01 , 0",PLATAFORMA 01 - (PMV - 06).,PLATAFORMA 01 - (PMV - 06).
-46.67555937560753,-23.50326126883148,"AV. NSA. SRA. DO Ó , 349",R EULALIO DA COSTA CARVALHO/ R MATEUS MASCARENHAS,EULALIO DA COSTA CARVALHO/ R MATEUS MASCARENHAS
-46.39543269190591,-23.5134554097373,"R. CORNÉLIO DE ARZÃO , 50",R. Antônio João de Medeiros,Antônio João de Medeiros
-46.70678192313414,-23.55897311256527,"AV. DAS NAÇÕES UNIDAS , 0",,
-46.65958091653427,-23.67569645776144,"AV. YERVANT KISSAJIKIAN , 0",R ESTANISLAU MONIUSKO/ R BEMAVENTURANCA,ESTANISLAU MONIUSKO/ R BEMAVENTURANCA
-46.65423336197113,-23.55935795751288,"AV. NOVE DE JULHO , 2130",R DONA ADMA JAFET/ VDTO PROFESSOR BERNARDINO TRANCHESI,DONA ADMA JAFET/ VDTO PROFESSOR BERNARDINO TRANCHESI
